course_id,title,platform,category,level,duration,skills,rating,reviews,url
1,"Data Engineering, Big Data, and Machine Learning on GCP",Coursera,Data Science; Information Technology,Intermediate,3 - 6 Months,"Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Lakes, MLOps (Machine Learning Operations), Dashboard, Data Warehousing, Extract, Transform, Load, Data Infrastructure, Cloud Storage, Big Data, Tensorflow, Unstructured Data, Data Integration, Data Processing, Data Visualization Software, Apache Hadoop, Apache Spark, Cloud Computing",4.6,18000,
2,"Intro to Snowflake for Devs, Data Scientists, Data Engineers",Coursera,Computer Science,Beginner,1 - 4 Weeks,"Data Manipulation, Data Warehousing, SQL, Data Pipelines, Extract, Transform, Load, Application Development, Artificial Intelligence and Machine Learning (AI/ML), Role-Based Access Control (RBAC), Databases, Stored Procedure, Cloud Services, Generative AI, Data Integration",4.8,63,
3,Intellectual Property Law,Coursera,Business,Intermediate,3 - 6 Months,"Branding, Logo Design, Brand Strategy, Brand Awareness, Brand Management, Packaging and Labeling, Asset Protection, Business Strategy, Strategic Planning, Product Knowledge, Regulation and Legal Compliance, Law, Regulation, and Compliance, Innovation, Creativity, Risk Management, Business Strategies, Competitive Analysis, Analysis, Writing, Economics",4.8,1400,
4,Generative AI Content Creation,Coursera,Computer Science,Mixed,1 - 4 Weeks,"Generative AI, Adobe Creative Cloud, Data Ethics, Data Integrity, Content Creation, Creative Design, Safety and Security, Graphic and Visual Design, Ethical Standards And Conduct, Digital Transformation, Natural Language Processing",4.6,64,
5,Microsoft Azure Cybersecurity Tools and Solutions,Coursera,Computer Science,Beginner,3 - 6 Months,"Vulnerability Management, Azure Active Directory, Cloud Security, Distributed Denial-Of-Service (DDoS) Attacks, Penetration Testing, Generative AI, Vulnerability Scanning, Vulnerability Assessments, Intrusion Detection and Prevention, Single Sign-On (SSO), Microsoft Azure, Security Management, Cyber Security Policies, Identity and Access Management, Data Management, Records Management, Authentications, System Monitoring, Data Ethics, ChatGPT",4.8,62,
6,MLOps Tools: MLflow and Hugging Face,Coursera,Information Technology,Advanced,1 - 4 Weeks,"MLOps (Machine Learning Operations), Application Deployment, Containerization, CI/CD, Docker (Software), Microsoft Azure, Cloud Computing, Applied Machine Learning, GitHub, Application Programming Interface (API)",4.5,613,
7,Full Stack Application Development Capstone Project,Coursera,Computer Science,Advanced,1 - 3 Months,"Full-Stack Web Development, CI/CD, Kubernetes, Application Deployment, Application Development, Software Design, Front-End Web Development, Restful API, Web Design and Development, Software Architecture, Microservices, Web Applications, Containerization, Serverless Computing, Cloud Applications, HTML and CSS, Cloud Development, Back-End Web Development, Node.JS, User Accounts",4.5,151,
8,Digital Media and Marketing Principles,Coursera,Business,Beginner,1 - 4 Weeks,"Human Capital, Employee Retention, Workforce Development, Employee Training, Talent Management, Organizational Strategy, Human Resources, Employee Engagement, Human Resources Management and Planning, Compensation Strategy, Workforce Management, Team Motivation, Employee Performance Management, Employee Onboarding, Recruitment Strategies",4.7,10,
9,SQL für Data Science,Coursera,Data Science,Beginner,1 - 4 Weeks,"Data Governance, SQL, Data Quality, Data Manipulation, Query Languages, Data Modeling, Databases, Relational Databases, Data Analysis",4.8,138,
10,"Virtualization, Docker, and Kubernetes for Data Engineering",Coursera,Information Technology,Advanced,1 - 4 Weeks,"Site Reliability Engineering, Docker (Software), Containerization, Kubernetes, Data Engineering, Virtualization, Cloud Engineering, Devops Tools, CI/CD, Microservices, Development Environment, Software Development Tools, Application Deployment, Virtual Machines, Software Development, Cloud Development, Database Management, Operational Databases, Command-Line Interface",4.7,25,
11,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",Coursera,Business,Intermediate,1 - 3 Months,"Income Tax, Tax Returns, Tax Preparation, Payroll Tax, Tax Laws, Payroll, Expense Management, Depreciation, Business Valuation",4.8,10000,
12,Introduction to Mobile App Development,Coursera,Computer Science,Beginner,1 - 4 Weeks,"Mobile Development, Mobile Development Tools, Android Development, Android Studio, Flutter (Software), Application Development, Swift Programming, Integrated Development Environments, Apple Xcode, Apple iOS, Application Frameworks, React Native, Cross Platform Development, Software Testing, Development Testing, User Interface and User Experience (UI/UX) Design, Back-End Web Development",4.7,535,
13,Software Architecture Patterns for Big Data,Coursera,Computer Science,Advanced,1 - 4 Weeks,"Performance Testing, Scalability, Data Architecture, Software Architecture, Distributed Computing, Predictive Modeling, Database Architecture and Administration, Application Performance Management, Database Systems, System Design and Implementation, Test Automation",4.6,29,
14,Exploratory Data Analysis,Coursera,Information Technology,Mixed,1 - 4 Weeks,"Exploratory Data Analysis, Data Visualization, Ggplot2, Dimensionality Reduction, Data Visualization Software, R Programming, Graphing, Data Storytelling, Data Analysis, Statistical Analysis, Unsupervised Learning, Statistical Methods",4.7,1300,
15,Introduction to Scrum Master Profession,Coursera,Business,Beginner,1 - 4 Weeks,"Sprint Retrospectives, Sprint Planning, Agile Project Management, Project Management, Agile Methodology, Stakeholder Management, Employee Coaching, Communication, Analysis",4.7,651,
16,"C++ Object Basics: Functions, Recursion, and Objects",Coursera,Computer Science,Intermediate,1 - 4 Weeks,"C++ (Programming Language), Object Oriented Programming (OOP), Programming Principles, Computer Programming, Software Documentation",4.8,6,
17,How Software Ate Finance,Coursera,Business,Mixed,1 - 3 Months,"FinTech, Payment Systems, Financial Services, Financial Market, Capital Markets, Financial Trading, Asset Management, Mobile Banking, Consumer Lending, Blockchain, Retail Banking, Banking, Financial Regulation, Investment Management, Digital Assets, Technology Strategies, Risk Management",4.7,46,
