course_id,canonical_course_id,title,platform,category,level,skills,course_text
1,1,"Data Engineering, Big Data, and Machine Learning on GCP",Coursera,Data Science,Intermediate,"Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Lakes, MLOps (Machine Learning Operations), Dashboard, Data Warehousing, Extract, Transform, Load, Data Infrastructure, Cloud Storage, Big Data, Tensorflow, Unstructured Data, Data Integration, Data Processing, Data Visualization Software, Apache Hadoop, Apache Spark, Cloud Computing","Title: Data Engineering, Big Data, and Machine Learning on GCP | Platform: Coursera | Category: Data Science | Level: Intermediate | Instructor: Google Cloud | Learning Product: Specialization | Skills: Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Lakes, MLOps (Machine Learning Operations), Dashboard, Data Warehousing, Extract, Transform, Load, Data Infrastructure, Cloud Storage, Big Data, Tensorflow, Unstructured Data, Data Integration, Data Processing, Data Visualization Software, Apache Hadoop, Apache Spark, Cloud Computing"
2,2,"Intro to Snowflake for Devs, Data Scientists, Data Engineers",Coursera,Computer Science,Beginner,"Data Manipulation, Data Warehousing, SQL, Data Pipelines, Extract, Transform, Load, Application Development, Artificial Intelligence and Machine Learning (AI/ML), Role-Based Access Control (RBAC), Databases, Stored Procedure, Cloud Services, Generative AI, Data Integration","Title: Intro to Snowflake for Devs, Data Scientists, Data Engineers | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: Snowflake | Learning Product: Course | Skills: Data Manipulation, Data Warehousing, SQL, Data Pipelines, Extract, Transform, Load, Application Development, Artificial Intelligence and Machine Learning (AI/ML), Role-Based Access Control (RBAC), Databases, Stored Procedure, Cloud Services, Generative AI, Data Integration"
3,3,Intellectual Property Law,Coursera,Business,Intermediate,"Branding, Logo Design, Brand Strategy, Brand Awareness, Brand Management, Packaging and Labeling, Asset Protection, Business Strategy, Strategic Planning, Product Knowledge, Regulation and Legal Compliance, Law, Regulation, and Compliance, Innovation, Creativity, Risk Management, Business Strategies, Competitive Analysis, Analysis, Writing, Economics","Title: Intellectual Property Law | Platform: Coursera | Category: Business | Level: Intermediate | Instructor: University of Pennsylvania | Learning Product: Specialization | Skills: Branding, Logo Design, Brand Strategy, Brand Awareness, Brand Management, Packaging and Labeling, Asset Protection, Business Strategy, Strategic Planning, Product Knowledge, Regulation and Legal Compliance, Law, Regulation, and Compliance, Innovation, Creativity, Risk Management, Business Strategies, Competitive Analysis, Analysis, Writing, Economics"
4,4,Generative AI Content Creation,Coursera,Computer Science,Mixed,"Generative AI, Adobe Creative Cloud, Data Ethics, Data Integrity, Content Creation, Creative Design, Safety and Security, Graphic and Visual Design, Ethical Standards And Conduct, Digital Transformation, Natural Language Processing","Title: Generative AI Content Creation | Platform: Coursera | Category: Computer Science | Level: Mixed | Instructor: Adobe | Learning Product: Course | Skills: Generative AI, Adobe Creative Cloud, Data Ethics, Data Integrity, Content Creation, Creative Design, Safety and Security, Graphic and Visual Design, Ethical Standards And Conduct, Digital Transformation, Natural Language Processing"
5,5,Microsoft Azure Cybersecurity Tools and Solutions,Coursera,Computer Science,Beginner,"Vulnerability Management, Azure Active Directory, Cloud Security, Distributed Denial-Of-Service (DDoS) Attacks, Penetration Testing, Generative AI, Vulnerability Scanning, Vulnerability Assessments, Intrusion Detection and Prevention, Single Sign-On (SSO), Microsoft Azure, Security Management, Cyber Security Policies, Identity and Access Management, Data Management, Records Management, Authentications, System Monitoring, Data Ethics, ChatGPT","Title: Microsoft Azure Cybersecurity Tools and Solutions | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: Microsoft | Learning Product: Specialization | Skills: Vulnerability Management, Azure Active Directory, Cloud Security, Distributed Denial-Of-Service (DDoS) Attacks, Penetration Testing, Generative AI, Vulnerability Scanning, Vulnerability Assessments, Intrusion Detection and Prevention, Single Sign-On (SSO), Microsoft Azure, Security Management, Cyber Security Policies, Identity and Access Management, Data Management, Records Management, Authentications, System Monitoring, Data Ethics, ChatGPT"
6,6,MLOps Tools: MLflow and Hugging Face,Coursera,Information Technology,Advanced,"MLOps (Machine Learning Operations), Application Deployment, Containerization, CI/CD, Docker (Software), Microsoft Azure, Cloud Computing, Applied Machine Learning, GitHub, Application Programming Interface (API)","Title: MLOps Tools: MLflow and Hugging Face | Platform: Coursera | Category: Information Technology | Level: Advanced | Instructor: Duke University | Learning Product: Course | Skills: MLOps (Machine Learning Operations), Application Deployment, Containerization, CI/CD, Docker (Software), Microsoft Azure, Cloud Computing, Applied Machine Learning, GitHub, Application Programming Interface (API)"
7,7,Full Stack Application Development Capstone Project,Coursera,Computer Science,Advanced,"Full-Stack Web Development, CI/CD, Kubernetes, Application Deployment, Application Development, Software Design, Front-End Web Development, Restful API, Web Design and Development, Software Architecture, Microservices, Web Applications, Containerization, Serverless Computing, Cloud Applications, HTML and CSS, Cloud Development, Back-End Web Development, Node.JS, User Accounts","Title: Full Stack Application Development Capstone Project | Platform: Coursera | Category: Computer Science | Level: Advanced | Instructor: IBM | Learning Product: Course | Skills: Full-Stack Web Development, CI/CD, Kubernetes, Application Deployment, Application Development, Software Design, Front-End Web Development, Restful API, Web Design and Development, Software Architecture, Microservices, Web Applications, Containerization, Serverless Computing, Cloud Applications, HTML and CSS, Cloud Development, Back-End Web Development, Node.JS, User Accounts"
8,8,Digital Media and Marketing Principles,Coursera,Business,Beginner,"Human Capital, Employee Retention, Workforce Development, Employee Training, Talent Management, Organizational Strategy, Human Resources, Employee Engagement, Human Resources Management and Planning, Compensation Strategy, Workforce Management, Team Motivation, Employee Performance Management, Employee Onboarding, Recruitment Strategies","Title: Digital Media and Marketing Principles | Platform: Coursera | Category: Business | Level: Beginner | Instructor: University of Illinois Urbana-Champaign | Learning Product: Course | Skills: Human Capital, Employee Retention, Workforce Development, Employee Training, Talent Management, Organizational Strategy, Human Resources, Employee Engagement, Human Resources Management and Planning, Compensation Strategy, Workforce Management, Team Motivation, Employee Performance Management, Employee Onboarding, Recruitment Strategies"
9,9,SQL für Data Science,Coursera,Data Science,Beginner,"Data Governance, SQL, Data Quality, Data Manipulation, Query Languages, Data Modeling, Databases, Relational Databases, Data Analysis","Title: SQL für Data Science | Platform: Coursera | Category: Data Science | Level: Beginner | Instructor: University of California, Davis | Learning Product: Course | Skills: Data Governance, SQL, Data Quality, Data Manipulation, Query Languages, Data Modeling, Databases, Relational Databases, Data Analysis"
10,10,"Virtualization, Docker, and Kubernetes for Data Engineering",Coursera,Information Technology,Advanced,"Site Reliability Engineering, Docker (Software), Containerization, Kubernetes, Data Engineering, Virtualization, Cloud Engineering, Devops Tools, CI/CD, Microservices, Development Environment, Software Development Tools, Application Deployment, Virtual Machines, Software Development, Cloud Development, Database Management, Operational Databases, Command-Line Interface","Title: Virtualization, Docker, and Kubernetes for Data Engineering | Platform: Coursera | Category: Information Technology | Level: Advanced | Instructor: Duke University | Learning Product: Course | Skills: Site Reliability Engineering, Docker (Software), Containerization, Kubernetes, Data Engineering, Virtualization, Cloud Engineering, Devops Tools, CI/CD, Microservices, Development Environment, Software Development Tools, Application Deployment, Virtual Machines, Software Development, Cloud Development, Database Management, Operational Databases, Command-Line Interface"
11,11,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",Coursera,Business,Intermediate,"Income Tax, Tax Returns, Tax Preparation, Payroll Tax, Tax Laws, Payroll, Expense Management, Depreciation, Business Valuation","Title: Federal Taxation I: Individuals, Employees, and Sole Proprietors | Platform: Coursera | Category: Business | Level: Intermediate | Instructor: University of Illinois Urbana-Champaign | Learning Product: Course | Skills: Income Tax, Tax Returns, Tax Preparation, Payroll Tax, Tax Laws, Payroll, Expense Management, Depreciation, Business Valuation"
