course_id,title,platform,category,instructor,learning_product,level,duration,skills,rating,reviews,data_source,url,title_norm,rating_known,rating_clean,duplicate_title_platform,duplicate_title_platform_level,canonical_key,canonical_course_id,course_text,source_course_ids,source_row_count
1,"Data Engineering, Big Data, and Machine Learning on GCP",Coursera,Data Science | Information Technology,Google Cloud,Specialization,Intermediate,3 - 6 Months,"Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Lakes, MLOps (Machine Learning Operations), Dashboard, Data Warehousing, Extract, Transform, Load, Data Infrastructure, Cloud Storage, Big Data, Tensorflow, Unstructured Data, Data Integration, Data Processing, Data Visualization Software, Apache Hadoop, Apache Spark, Cloud Computing",4.6,18000.0,Curated,,data engineering big data and machine learning on gcp,True,4.6,True,True,data engineering big data and machine learning on gcp||coursera,1,"Title: Data Engineering, Big Data, and Machine Learning on GCP | Platform: Coursera | Category: Data Science | Information Technology | Level: Intermediate | Instructor: Google Cloud | Learning Product: Specialization | Skills: Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Lakes, MLOps (Machine Learning Operations), Dashboard, Data Warehousing, Extract, Transform, Load, Data Infrastructure, Cloud Storage, Big Data, Tensorflow, Unstructured Data, Data Integration, Data Processing, Data Visualization Software, Apache Hadoop, Apache Spark, Cloud Computing","1,630",2
2,"Intro to Snowflake for Devs, Data Scientists, Data Engineers",Coursera,Computer Science,Snowflake,Course,Beginner,1 - 4 Weeks,"Data Manipulation, Data Warehousing, SQL, Data Pipelines, Extract, Transform, Load, Application Development, Artificial Intelligence and Machine Learning (AI/ML), Role-Based Access Control (RBAC), Databases, Stored Procedure, Cloud Services, Generative AI, Data Integration",4.8,63.0,Curated,,intro to snowflake for devs data scientists data engineers,True,4.8,False,False,intro to snowflake for devs data scientists data engineers||coursera,2,"Title: Intro to Snowflake for Devs, Data Scientists, Data Engineers | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: Snowflake | Learning Product: Course | Skills: Data Manipulation, Data Warehousing, SQL, Data Pipelines, Extract, Transform, Load, Application Development, Artificial Intelligence and Machine Learning (AI/ML), Role-Based Access Control (RBAC), Databases, Stored Procedure, Cloud Services, Generative AI, Data Integration",2,1
3,Intellectual Property Law,Coursera,Business,University of Pennsylvania,Specialization,Intermediate,3 - 6 Months,"Branding, Logo Design, Brand Strategy, Brand Awareness, Brand Management, Packaging and Labeling, Asset Protection, Business Strategy, Strategic Planning, Product Knowledge, Regulation and Legal Compliance, Law, Regulation, and Compliance, Innovation, Creativity, Risk Management, Business Strategies, Competitive Analysis, Analysis, Writing, Economics",4.8,1400.0,Curated,,intellectual property law,True,4.8,False,False,intellectual property law||coursera,3,"Title: Intellectual Property Law | Platform: Coursera | Category: Business | Level: Intermediate | Instructor: University of Pennsylvania | Learning Product: Specialization | Skills: Branding, Logo Design, Brand Strategy, Brand Awareness, Brand Management, Packaging and Labeling, Asset Protection, Business Strategy, Strategic Planning, Product Knowledge, Regulation and Legal Compliance, Law, Regulation, and Compliance, Innovation, Creativity, Risk Management, Business Strategies, Competitive Analysis, Analysis, Writing, Economics",3,1
4,Generative AI Content Creation,Coursera,Computer Science,Adobe,Course,Mixed,1 - 4 Weeks,"Generative AI, Adobe Creative Cloud, Data Ethics, Data Integrity, Content Creation, Creative Design, Safety and Security, Graphic and Visual Design, Ethical Standards And Conduct, Digital Transformation, Natural Language Processing",4.6,64.0,Curated,,generative ai content creation,True,4.6,False,False,generative ai content creation||coursera,4,"Title: Generative AI Content Creation | Platform: Coursera | Category: Computer Science | Level: Mixed | Instructor: Adobe | Learning Product: Course | Skills: Generative AI, Adobe Creative Cloud, Data Ethics, Data Integrity, Content Creation, Creative Design, Safety and Security, Graphic and Visual Design, Ethical Standards And Conduct, Digital Transformation, Natural Language Processing",4,1
5,Microsoft Azure Cybersecurity Tools and Solutions,Coursera,Computer Science,Microsoft,Specialization,Beginner,3 - 6 Months,"Vulnerability Management, Azure Active Directory, Cloud Security, Distributed Denial-Of-Service (DDoS) Attacks, Penetration Testing, Generative AI, Vulnerability Scanning, Vulnerability Assessments, Intrusion Detection and Prevention, Single Sign-On (SSO), Microsoft Azure, Security Management, Cyber Security Policies, Identity and Access Management, Data Management, Records Management, Authentications, System Monitoring, Data Ethics, ChatGPT",4.8,62.0,Curated,,microsoft azure cybersecurity tools and solutions,True,4.8,False,False,microsoft azure cybersecurity tools and solutions||coursera,5,"Title: Microsoft Azure Cybersecurity Tools and Solutions | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: Microsoft | Learning Product: Specialization | Skills: Vulnerability Management, Azure Active Directory, Cloud Security, Distributed Denial-Of-Service (DDoS) Attacks, Penetration Testing, Generative AI, Vulnerability Scanning, Vulnerability Assessments, Intrusion Detection and Prevention, Single Sign-On (SSO), Microsoft Azure, Security Management, Cyber Security Policies, Identity and Access Management, Data Management, Records Management, Authentications, System Monitoring, Data Ethics, ChatGPT",5,1
6,MLOps Tools: MLflow and Hugging Face,Coursera,Information Technology,Duke University,Course,Advanced,1 - 4 Weeks,"MLOps (Machine Learning Operations), Application Deployment, Containerization, CI/CD, Docker (Software), Microsoft Azure, Cloud Computing, Applied Machine Learning, GitHub, Application Programming Interface (API)",4.5,613.0,Curated,,mlops tools mlflow and hugging face,True,4.5,False,False,mlops tools mlflow and hugging face||coursera,6,"Title: MLOps Tools: MLflow and Hugging Face | Platform: Coursera | Category: Information Technology | Level: Advanced | Instructor: Duke University | Learning Product: Course | Skills: MLOps (Machine Learning Operations), Application Deployment, Containerization, CI/CD, Docker (Software), Microsoft Azure, Cloud Computing, Applied Machine Learning, GitHub, Application Programming Interface (API)",6,1
7,Full Stack Application Development Capstone Project,Coursera,Computer Science,IBM,Course,Advanced,1 - 3 Months,"Full-Stack Web Development, CI/CD, Kubernetes, Application Deployment, Application Development, Software Design, Front-End Web Development, Restful API, Web Design and Development, Software Architecture, Microservices, Web Applications, Containerization, Serverless Computing, Cloud Applications, HTML and CSS, Cloud Development, Back-End Web Development, Node.JS, User Accounts",4.5,151.0,Curated,,full stack application development capstone project,True,4.5,False,False,full stack application development capstone project||coursera,7,"Title: Full Stack Application Development Capstone Project | Platform: Coursera | Category: Computer Science | Level: Advanced | Instructor: IBM | Learning Product: Course | Skills: Full-Stack Web Development, CI/CD, Kubernetes, Application Deployment, Application Development, Software Design, Front-End Web Development, Restful API, Web Design and Development, Software Architecture, Microservices, Web Applications, Containerization, Serverless Computing, Cloud Applications, HTML and CSS, Cloud Development, Back-End Web Development, Node.JS, User Accounts",7,1
8,Digital Media and Marketing Principles,Coursera,Business,University of Illinois Urbana-Champaign,Course,Beginner,1 - 4 Weeks,"Human Capital, Employee Retention, Workforce Development, Employee Training, Talent Management, Organizational Strategy, Human Resources, Employee Engagement, Human Resources Management and Planning, Compensation Strategy, Workforce Management, Team Motivation, Employee Performance Management, Employee Onboarding, Recruitment Strategies",4.7,10.0,Curated,,digital media and marketing principles,True,4.7,False,False,digital media and marketing principles||coursera,8,"Title: Digital Media and Marketing Principles | Platform: Coursera | Category: Business | Level: Beginner | Instructor: University of Illinois Urbana-Champaign | Learning Product: Course | Skills: Human Capital, Employee Retention, Workforce Development, Employee Training, Talent Management, Organizational Strategy, Human Resources, Employee Engagement, Human Resources Management and Planning, Compensation Strategy, Workforce Management, Team Motivation, Employee Performance Management, Employee Onboarding, Recruitment Strategies",8,1
9,SQL für Data Science,Coursera,Data Science,"University of California, Davis",Course,Beginner,1 - 4 Weeks,"Data Governance, SQL, Data Quality, Data Manipulation, Query Languages, Data Modeling, Databases, Relational Databases, Data Analysis",4.8,138.0,Curated,,sql für data science,True,4.8,False,False,sql für data science||coursera,9,"Title: SQL für Data Science | Platform: Coursera | Category: Data Science | Level: Beginner | Instructor: University of California, Davis | Learning Product: Course | Skills: Data Governance, SQL, Data Quality, Data Manipulation, Query Languages, Data Modeling, Databases, Relational Databases, Data Analysis",9,1
10,"Virtualization, Docker, and Kubernetes for Data Engineering",Coursera,Information Technology,Duke University,Course,Advanced,1 - 4 Weeks,"Site Reliability Engineering, Docker (Software), Containerization, Kubernetes, Data Engineering, Virtualization, Cloud Engineering, Devops Tools, CI/CD, Microservices, Development Environment, Software Development Tools, Application Deployment, Virtual Machines, Software Development, Cloud Development, Database Management, Operational Databases, Command-Line Interface",4.7,25.0,Curated,,virtualization docker and kubernetes for data engineering,True,4.7,False,False,virtualization docker and kubernetes for data engineering||coursera,10,"Title: Virtualization, Docker, and Kubernetes for Data Engineering | Platform: Coursera | Category: Information Technology | Level: Advanced | Instructor: Duke University | Learning Product: Course | Skills: Site Reliability Engineering, Docker (Software), Containerization, Kubernetes, Data Engineering, Virtualization, Cloud Engineering, Devops Tools, CI/CD, Microservices, Development Environment, Software Development Tools, Application Deployment, Virtual Machines, Software Development, Cloud Development, Database Management, Operational Databases, Command-Line Interface",10,1
